ID,start_X,start_Y,start_Z,end_X,end_Y,end_Z,Edge_Length,Length_Adjusted_m,LED_Ring_Diameter_m,strip_start_x,strip_start_y,strip_start_z,strip_end_x,strip_end_y,strip_end_z,Data_Flow_Start_Node_ID,Data_Flow_End_Node_ID,Type
11,10.667999,75.590399,2.7506,16.764,75.590399,2.7506,6.10,5.30,0.80,11.067999,75.590399,2.750600,16.364000,75.590399,2.750600,16,17,Normal
12,10.668007,35.051999,1.0668,10.668007,41.148,1.0668,6.10,5.30,0.80,10.668007,35.451999,1.066800,10.668007,40.748000,1.066800,18,19,Normal
13,10.668007,41.148,1.0668,16.764,45.110398,1.0668,7.27,6.47,0.80,11.003384,41.365995,1.066800,16.428623,44.892403,1.066800,20,19,Normal
14,16.764,69.49440000000001,1.0668,10.667999,63.39840000000001,1.0668,8.62,7.82,0.80,16.481157,69.211557,1.066800,10.950842,63.681243,1.066800,14,21,Normal
15,16.764,75.590399,2.7506,22.860001,69.49440100000001,1.0668,8.78,7.98,0.80,17.041598,75.312802,2.673924,22.582403,69.771998,1.143476,22,17,Normal
16,16.764,45.110398,1.0668,16.764,51.20640100000001,1.0668,6.10,5.30,0.80,16.764000,45.510398,1.066800,16.764000,50.806401,1.066800,20,23,Normal
17,16.764,51.20640100000001,1.0668,10.667999,51.206399000000005,1.0668,6.10,5.30,0.80,16.364000,51.206401,1.066800,11.067999,51.206399,1.066800,23,10,Normal
18,16.764,28.955998000000008,1.0668,16.763992,22.860001000000004,1.0668,6.10,5.30,0.80,16.763999,28.555998,1.066800,16.763993,23.260001,1.066800,24,25,Normal
19,16.763992,22.860001000000004,1.0668,10.667999,22.860001000000004,1.0668,6.10,5.30,0.80,16.363992,22.860001,1.066800,11.067999,22.860001,1.066800,12,25,Normal
20,22.860001,10.668000000000006,1.0668,16.764,10.668000000000006,1.0668,6.10,5.30,0.80,22.460001,10.668000,1.066800,17.164000,10.668000,1.066800,13,26,Normal
21,22.860001,41.148,1.0668,16.764,45.110398,1.0668,7.27,6.47,0.80,22.524623,41.365995,1.066800,17.099378,44.892403,1.066800,20,27,Normal
22,22.860001,45.110398,1.0668,28.956001,45.11040200000001,1.0668,6.10,5.30,0.80,23.260001,45.110398,1.066800,28.556001,45.110402,1.066800,29,28,Normal
23,22.860001,57.30239900000001,1.0668,16.764,51.20640100000001,1.0668,8.62,7.82,0.80,22.577158,57.019556,1.066800,17.046843,51.489244,1.066800,23,30,Normal
24,22.860008,28.955998000000008,1.0668,16.764,28.955998000000008,1.0668,6.10,5.30,0.80,22.460008,28.955998,1.066800,17.164000,28.955998,1.066800,24,31,Normal
25,28.955994,4.571999000000005,2.7914,28.955994,10.667991999999998,1.0668,6.34,5.54,0.80,28.955994,4.956893,2.682511,28.955994,10.283098,1.175689,32,33,Normal
26,28.956001,51.20640100000001,1.0668,35.052002,57.30239900000001,1.0668,8.62,7.82,0.80,29.238844,51.489244,1.066800,34.769159,57.019556,1.066800,35,34,Normal
27,28.956001,75.590399,2.7506,22.860001,69.49440100000001,1.0668,8.78,7.98,0.80,28.678403,75.312802,2.673924,23.137599,69.771998,1.143476,36,22,Normal
28,28.955994,22.860001000000004,1.0668,22.860008,28.955998000000008,1.0668,8.62,7.82,0.80,28.673152,23.142844,1.066800,23.142850,28.673155,1.066800,37,31,Normal
29,28.956001,28.955998000000008,1.0668,35.052006,35.051999,1.0668,8.62,7.82,0.80,29.238844,29.238841,1.066800,34.769163,34.769156,1.066800,39,38,Normal
30,28.956001,35.051999,1.0668,22.860001,41.148,1.0668,8.62,7.82,0.80,28.673158,35.334842,1.066800,23.142844,40.865157,1.066800,40,27,Normal
31,28.956001,57.30239900000001,1.0668,28.956001,63.39840000000001,1.0668,6.10,5.30,0.80,28.956001,57.702399,1.066800,28.956001,62.998400,1.066800,41,42,Normal
32,32.004,1.7462000000000018,4.8577,28.955994,4.571999000000005,2.7914,4.64,3.84,0.80,31.741335,1.989716,4.679635,29.218659,4.328483,2.969465,32,43,Intercom
33,32.004,78.4162,4.8577,28.956001,75.590399,2.7506,4.66,3.86,0.80,31.742367,78.173640,4.676832,29.217634,75.832959,2.931468,36,44,Intercom
34,35.052006,41.148,1.0668,35.052006,35.051999,1.0668,6.10,5.30,0.80,35.052006,40.748000,1.066800,35.052006,35.451999,1.066800,39,45,Normal
35,35.052002,57.30239900000001,1.0668,28.956001,57.30239900000001,1.0668,6.10,5.30,0.80,34.652002,57.302399,1.066800,29.356001,57.302399,1.066800,35,41,Normal
36,35.052002,69.49440100000001,1.0668,28.956001,63.39840000000001,1.0668,8.62,7.82,0.80,34.769159,69.211558,1.066800,29.238844,63.681243,1.066800,46,42,Normal
37,35.052002,75.590399,2.7506,32.004,78.4162,4.8577,4.66,3.86,0.80,34.790369,75.832958,2.931468,32.265633,78.173641,4.676832,47,44,Intercom
38,35.052006,22.860001000000004,1.0668,28.955994,22.860001000000004,1.0668,6.10,5.30,0.80,34.652006,22.860001,1.066800,29.355994,22.860001,1.066800,48,37,Normal
39,35.052006,16.764001000000007,1.0668,28.955994,10.667991999999998,1.0668,8.62,7.82,0.80,34.769163,16.481158,1.066800,29.238837,10.950835,1.066800,49,33,Normal
40,41.147999,41.148,1.0668,41.147999,45.110398,1.0668,3.96,3.16,0.80,41.147999,41.548000,1.066800,41.147999,44.710398,1.066800,51,50,Normal
41,41.148003,51.20640100000001,1.0668,41.147999,45.110398,1.0668,6.10,5.30,0.80,41.148003,50.806401,1.066800,41.147999,45.510398,1.066800,51,52,Normal
42,41.147999,69.49440000000001,1.0668,35.052002,69.49440100000001,1.0668,6.10,5.30,0.80,40.747999,69.494400,1.066800,35.452002,69.494401,1.066800,46,53,Normal
43,41.147999,16.764001000000007,1.0668,41.147999,10.667991999999998,1.0668,6.10,5.30,0.80,41.147999,16.364001,1.066800,41.147999,11.067992,1.066800,54,55,Normal
44,41.147999,28.955998000000008,1.0668,35.052006,22.860001000000004,1.0668,8.62,7.82,0.80,40.865156,28.673155,1.066800,35.334849,23.142844,1.066800,48,56,Normal
45,41.147999,10.667991999999998,1.0668,47.243999,10.667991999999998,1.0668,6.10,5.30,0.80,41.547999,10.667992,1.066800,46.843999,10.667992,1.066800,57,55,Normal
46,47.243999,35.051999,1.0668,51.206402,28.955998000000008,1.0668,7.27,6.47,0.80,47.461994,34.716622,1.066800,50.988407,29.291375,1.066800,58,59,Normal
47,47.244003,51.20640100000001,1.0668,51.206402,57.30239900000001,1.0668,7.27,6.47,0.80,47.461998,51.541778,1.066800,50.988407,56.967022,1.066800,61,60,Normal
48,47.243999,69.49440100000001,1.0668,51.206402,75.590399,2.7506,7.46,6.66,0.80,47.456374,69.821131,1.157047,50.994027,75.263669,2.660353,63,62,Normal
49,47.243999,22.860001000000004,1.0668,51.206402,28.955998000000008,1.0668,7.27,6.47,0.80,47.461995,23.195378,1.066800,50.988406,28.620621,1.066800,59,64,Normal
50,47.243999,10.667991999999998,1.0668,51.206398,4.571999000000005,2.7914,7.47,6.67,0.80,47.456109,10.341669,1.159119,50.994288,4.898322,2.699081,57,65,Normal
51,51.206402,16.764001000000007,1.0668,47.243999,22.860001000000004,1.0668,7.27,6.47,0.80,50.988407,17.099378,1.066800,47.461994,22.524624,1.066800,64,66,Normal
52,51.206402,63.39840000000001,1.0668,47.243999,69.49440100000001,1.0668,7.27,6.47,0.80,50.988407,63.733777,1.066800,47.461994,69.159024,1.066800,67,62,Normal
53,51.206402,57.30239900000001,1.0668,51.206406,51.20640100000001,1.0668,6.10,5.30,0.80,51.206402,56.902399,1.066800,51.206406,51.606401,1.066800,61,68,Normal
54,51.206402,41.148,1.0668,47.243999,35.051999,1.0668,7.27,6.47,0.80,50.988407,40.812623,1.066800,47.461994,35.387376,1.066800,69,58,Normal
55,51.206398,4.571999000000005,2.7914,57.302399,10.668000000000006,1.0668,8.79,7.99,0.80,51.483746,4.849347,2.712936,57.025051,10.390652,1.145264,70,65,Normal
56,51.206406,51.20640100000001,1.0668,57.302402,51.20640100000001,1.0668,6.10,5.30,0.80,51.606406,51.206401,1.066800,56.902402,51.206401,1.066800,71,68,Normal
57,51.206402,35.051999,1.0668,47.243999,35.051999,1.0668,3.96,3.16,0.80,50.806402,35.051999,1.066800,47.643999,35.051999,1.066800,72,58,Normal
58,57.302399,63.39840000000001,1.0668,63.398399,69.49440100000001,1.0668,8.62,7.82,0.80,57.585242,63.681243,1.066800,63.115556,69.211558,1.066800,74,73,Normal
59,57.302399,35.051999,1.0668,51.206402,35.051999,1.0668,6.10,5.30,0.80,56.902399,35.051999,1.066800,51.606402,35.051999,1.066800,72,75,Normal
60,57.302399,45.110398,1.0668,57.302402,51.20640100000001,1.0668,6.10,5.30,0.80,57.302399,45.510398,1.066800,57.302402,50.806401,1.066800,71,76,Normal
61,57.302399,28.955998000000008,1.0668,63.398399,22.860001000000004,1.0668,8.62,7.82,0.80,57.585242,28.673155,1.066800,63.115556,23.142844,1.066800,78,77,Normal
62,57.302399,10.668000000000006,1.0668,51.206402,16.764001000000007,1.0668,8.62,7.82,0.80,57.019556,10.950843,1.066800,51.489245,16.481158,1.066800,70,66,Normal
63,57.302399,69.49440000000001,1.0668,51.206402,75.590399,2.7506,8.78,7.98,0.80,57.024802,69.771998,1.143476,51.483999,75.312801,2.673924,63,79,Normal
64,63.398399,69.49440100000001,1.0668,57.302399,69.49440000000001,1.0668,6.10,5.30,0.80,62.998399,69.494401,1.066800,57.702399,69.494400,1.066800,74,79,Normal
65,63.398399,41.148,1.0668,57.302399,45.110398,1.0668,7.27,6.47,0.80,63.063022,41.365995,1.066800,57.637776,44.892403,1.066800,80,76,Normal
66,63.398399,22.860001000000004,1.0668,63.398399,16.764001000000007,1.0668,6.10,5.30,0.80,63.398399,22.460001,1.066800,63.398399,17.164001,1.066800,78,81,Normal
67,63.398399,10.668000000000006,1.0668,63.398399,16.764001000000007,1.0668,6.10,5.30,0.80,63.398399,11.068000,1.066800,63.398399,16.364001,1.066800,82,81,Normal
68,63.398399,57.302397000000006,1.0668,69.4944,57.30239900000001,1.0668,6.10,5.30,0.80,63.798399,57.302397,1.066800,69.094400,57.302399,1.066800,83,84,Normal
69,69.4944,75.590399,2.7506,69.4944,69.49440000000001,1.0668,6.32,5.52,0.80,69.494400,75.204837,2.644102,69.494400,69.879962,1.173298,85,86,Normal
70,69.4944,35.051999,1.0668,69.4944,41.148,1.0668,6.10,5.30,0.80,69.494400,35.451999,1.066800,69.494400,40.748000,1.066800,88,87,Normal
71,69.4944,22.860001000000004,1.0668,75.590408,16.763997000000003,1.0668,8.62,7.82,0.80,69.777243,22.577158,1.066800,75.307565,17.046840,1.066800,90,89,Normal
72,69.4944,4.571999000000005,2.7914,72.5424,1.7462000000000018,4.8577,4.64,3.84,0.80,69.757064,4.328483,2.969465,72.279736,1.989716,4.679635,91,92,Intercom
73,69.4944,57.30239900000001,1.0668,75.590401,57.30239900000001,1.0668,6.10,5.30,0.80,69.894400,57.302399,1.066800,75.190401,57.302399,1.066800,93,84,Normal
74,69.4944,41.148,1.0668,69.4944,45.110398,1.0668,3.96,3.16,0.80,69.494400,41.548000,1.066800,69.494400,44.710398,1.066800,94,88,Normal
75,69.4944,45.110398,1.0668,75.590401,51.20640100000001,1.0668,8.62,7.82,0.80,69.777243,45.393241,1.066800,75.307558,50.923558,1.066800,94,95,Normal
76,69.4944,63.398398,1.0668,75.590401,69.49440100000001,1.0668,8.62,7.82,0.80,69.777243,63.681241,1.066800,75.307558,69.211558,1.066800,97,96,Normal
77,72.5424,78.4162,4.8577,75.590401,75.590399,2.7506,4.66,3.86,0.80,72.804033,78.173640,4.676832,75.328768,75.832959,2.931468,99,98,Intercom
78,72.5424,1.7462000000000018,4.8577,75.590401,4.571999000000005,2.7914,4.64,3.84,0.80,72.805065,1.989716,4.679635,75.327736,4.328483,2.969465,100,92,Intercom
79,75.590401,75.590399,2.7506,81.686401,69.49440000000001,1.0668,8.78,7.98,0.80,75.867999,75.312802,2.673924,81.408803,69.771997,1.143476,99,101,Normal
80,75.590393,28.955994000000004,1.0668,81.686401,22.860001000000004,1.0668,8.62,7.82,0.80,75.873236,28.673152,1.066800,81.403558,23.142843,1.066800,102,103,Normal
81,75.590401,10.668000000000006,1.0668,75.590408,16.763997000000003,1.0668,6.10,5.30,0.80,75.590401,11.068000,1.066800,75.590408,16.363997,1.066800,90,104,Normal
82,75.590401,57.30239900000001,1.0668,69.4944,63.398398,1.0668,8.62,7.82,0.80,75.307558,57.585242,1.066800,69.777243,63.115555,1.066800,93,96,Normal
83,75.590401,51.20640100000001,1.0668,75.590401,57.30239900000001,1.0668,6.10,5.30,0.80,75.590401,51.606401,1.066800,75.590401,56.902399,1.066800,93,95,Normal
84,75.590401,69.49440100000001,1.0668,69.4944,69.49440000000001,1.0668,6.10,5.30,0.80,75.190401,69.494401,1.066800,69.894400,69.494400,1.066800,97,86,Normal
85,81.686401,35.051999,1.0668,75.590393,28.955994000000004,1.0668,8.62,7.82,0.80,81.403558,34.769156,1.066800,75.873236,29.238837,1.066800,102,105,Normal
86,81.686401,69.49440000000001,1.0668,87.782402,69.49440100000001,1.0668,6.10,5.30,0.80,82.086401,69.494400,1.066800,87.382402,69.494401,1.066800,106,101,Normal
87,81.686401,22.860001000000004,1.0668,87.78241,22.860001000000004,1.0668,6.10,5.30,0.80,82.086401,22.860001,1.066800,87.382410,22.860001,1.066800,103,107,Normal
88,81.686401,10.668000000000006,1.0668,75.590401,4.571999000000005,2.7914,8.79,7.99,0.80,81.409053,10.390652,1.145264,75.867749,4.849347,2.712936,100,108,Normal
89,81.686401,51.20640100000001,1.0668,75.590401,57.30239900000001,1.0668,8.62,7.82,0.80,81.403558,51.489244,1.066800,75.873244,57.019556,1.066800,93,109,Normal
90,87.782402,69.49440100000001,1.0668,93.878403,69.49440000000001,1.0668,6.10,5.30,0.80,88.182402,69.494401,1.066800,93.478403,69.494400,1.066800,106,110,Normal
91,87.782402,45.110398,1.0668,81.686401,51.20640100000001,1.0668,8.62,7.82,0.80,87.499559,45.393241,1.066800,81.969244,50.923558,1.066800,111,109,Normal
92,87.782402,41.148,1.0668,93.878403,41.148,1.0668,6.10,5.30,0.80,88.182402,41.148000,1.066800,93.478403,41.148000,1.066800,112,113,Normal
93,87.78241,22.860001000000004,1.0668,93.878403,22.860001000000004,1.0668,6.10,5.30,0.80,88.182410,22.860001,1.066800,93.478403,22.860001,1.066800,114,107,Normal
94,87.782402,10.668000000000006,1.0668,81.686401,10.668000000000006,1.0668,6.10,5.30,0.80,87.382402,10.668000,1.066800,82.086401,10.668000,1.066800,115,108,Normal
95,87.782402,57.302397000000006,1.0668,93.878403,57.30239900000001,1.0668,6.10,5.30,0.80,88.182402,57.302397,1.066800,93.478403,57.302399,1.066800,116,117,Normal
96,93.878403,69.49440000000001,1.0668,93.878403,63.398398,1.0668,6.10,5.30,0.80,93.878403,69.094400,1.066800,93.878403,63.798398,1.066800,118,110,Normal
97,93.878403,63.398398,1.0668,99.974403,57.30239900000001,2.8096,8.80,8.00,0.80,94.155638,63.121163,1.146059,99.697168,57.579634,2.730341,119,118,Normal
98,93.878403,51.20640100000001,1.0668,93.878403,57.30239900000001,1.0668,6.10,5.30,0.80,93.878403,51.606401,1.066800,93.878403,56.902399,1.066800,120,117,Normal
99,93.878403,22.860001000000004,1.0668,99.974403,28.955998000000008,2.8096,8.80,8.00,0.80,94.155638,23.137235,1.146059,99.697168,28.678764,2.730341,121,114,Normal
100,93.878403,16.764001000000007,1.0668,87.782402,10.668000000000006,1.0668,8.62,7.82,0.80,93.595560,16.481158,1.066800,88.065245,10.950843,1.066800,115,122,Normal
101,93.878403,41.148,1.0668,93.878403,35.051999,1.0668,6.10,5.30,0.80,93.878403,40.748000,1.066800,93.878403,35.451999,1.066800,123,113,Normal
102,93.878403,35.051999,1.0668,99.974403,28.955998000000008,2.8096,8.80,8.00,0.80,94.155638,34.774764,1.146059,99.697168,29.233233,2.730341,123,121,Normal
103,99.974403,57.30239900000001,2.8096,102.8002,54.254400000000004,4.8577,4.63,3.83,0.80,100.218343,57.039277,2.986405,102.556260,54.517522,4.680895,119,124,Intercom
104,99.974403,51.20640100000001,2.8096,93.878403,51.20640100000001,1.0668,6.34,5.54,0.80,99.589812,51.206401,2.699648,94.262994,51.206401,1.176752,125,120,Normal
105,99.974403,28.955998000000008,2.8096,102.8001,25.90800000000001,4.8577,4.63,3.83,0.80,100.218338,28.692872,2.986407,102.556165,26.171126,4.680893,121,126,Intercom
106,102.8002,54.254400000000004,4.8577,99.974403,51.20640100000001,2.8096,4.63,3.83,0.80,102.556260,53.991278,4.680895,100.218343,51.469523,2.986405,125,124,Intercom
107,4.571999,16.764001000000007,2.8925,10.667999,16.764001000000007,1.0668,6.36,5.56,0.80,4.955183,16.764001,2.777740,10.284815,16.764001,1.181560,5,11,Normal
108,4.571999,69.494399,2.8925,10.667999,63.39840000000001,1.0668,8.81,8.01,0.80,4.848705,69.217693,2.809629,10.391293,63.675106,1.149671,14,8,Normal
109,4.572006,28.956002000000005,2.8925,10.667999,22.860001000000004,1.0668,8.81,8.01,0.80,4.848712,28.679296,2.809629,10.391293,23.136707,1.149671,2,12,Normal
110,4.572006,28.956002000000005,2.8925,10.668007,35.051999,1.0668,8.81,8.01,0.80,4.848712,29.232708,2.809629,10.391301,34.775293,1.149671,18,2,Normal
111,10.667999,16.764001000000007,1.0668,16.764,10.668000000000006,1.0668,8.62,7.82,0.80,10.950842,16.481158,1.066800,16.481157,10.950843,1.066800,11,13,Normal
112,10.667999,57.302397000000006,1.0668,16.764,51.20640100000001,1.0668,8.62,7.82,0.80,10.950842,57.019554,1.066800,16.481157,51.489244,1.066800,23,15,Normal
113,16.764,69.49440000000001,1.0668,22.860001,69.49440100000001,1.0668,6.10,5.30,0.80,17.164000,69.494400,1.066800,22.460001,69.494401,1.066800,22,21,Normal
114,16.764,45.110398,1.0668,22.860001,45.110398,1.0668,6.10,5.30,0.80,17.164000,45.110398,1.066800,22.460001,45.110398,1.066800,20,28,Normal
115,22.860001,10.668000000000006,1.0668,28.955994,4.571999000000005,2.7914,8.79,7.99,0.80,23.137348,10.390652,1.145264,28.678647,4.849347,2.712936,32,26,Normal
116,22.860001,57.30239900000001,1.0668,28.956001,57.30239900000001,1.0668,6.10,5.30,0.80,23.260001,57.302399,1.066800,28.556001,57.302399,1.066800,41,30,Normal
117,28.956001,45.11040200000001,1.0668,35.052006,41.148,1.0668,7.27,6.47,0.80,29.291378,44.892407,1.066800,34.716629,41.365995,1.066800,29,45,Normal
118,28.956001,45.11040200000001,1.0668,28.956001,51.20640100000001,1.0668,6.10,5.30,0.80,28.956001,45.510402,1.066800,28.956001,50.806401,1.066800,29,34,Normal
119,28.955994,22.860001000000004,1.0668,28.956001,28.955998000000008,1.0668,6.10,5.30,0.80,28.955994,23.260001,1.066800,28.956001,28.555998,1.066800,37,38,Normal
120,28.956001,28.955998000000008,1.0668,28.956001,35.051999,1.0668,6.10,5.30,0.80,28.956001,29.355998,1.066800,28.956001,34.651999,1.066800,40,38,Normal
121,35.052006,41.148,1.0668,41.147999,41.148,1.0668,6.10,5.30,0.80,35.452006,41.148000,1.066800,40.747999,41.148000,1.066800,45,50,Normal
122,35.052002,57.30239900000001,1.0668,41.148003,51.20640100000001,1.0668,8.62,7.82,0.80,35.334845,57.019556,1.066800,40.865160,51.489244,1.066800,52,35,Normal
123,35.052002,69.49440100000001,1.0668,35.052002,75.590399,2.7506,6.32,5.52,0.80,35.052002,69.879963,1.173298,35.052002,75.204837,2.644102,47,46,Normal
124,35.052006,22.860001000000004,1.0668,35.052006,16.764001000000007,1.0668,6.10,5.30,0.80,35.052006,22.460001,1.066800,35.052006,17.164001,1.066800,49,48,Normal
125,35.052006,16.764001000000007,1.0668,41.147999,16.764001000000007,1.0668,6.10,5.30,0.80,35.452006,16.764001,1.066800,40.747999,16.764001,1.066800,49,54,Normal
126,41.147999,41.148,1.0668,47.243999,35.051999,1.0668,8.62,7.82,0.80,41.430842,40.865157,1.066800,46.961156,35.334842,1.066800,58,50,Normal
127,41.148003,51.20640100000001,1.0668,47.244003,51.20640100000001,1.0668,6.10,5.30,0.80,41.548003,51.206401,1.066800,46.844003,51.206401,1.066800,52,60,Normal
128,41.147999,69.49440000000001,1.0668,47.243999,69.49440100000001,1.0668,6.10,5.30,0.80,41.547999,69.494400,1.066800,46.843999,69.494401,1.066800,62,53,Normal
129,41.147999,16.764001000000007,1.0668,47.243999,22.860001000000004,1.0668,8.62,7.82,0.80,41.430842,17.046844,1.066800,46.961156,22.577158,1.066800,54,64,Normal
130,41.147999,28.955998000000008,1.0668,47.243999,22.860001000000004,1.0668,8.62,7.82,0.80,41.430842,28.673155,1.066800,46.961156,23.142844,1.066800,64,56,Normal
131,51.206402,63.39840000000001,1.0668,57.302399,63.39840000000001,1.0668,6.10,5.30,0.80,51.606402,63.398400,1.066800,56.902399,63.398400,1.066800,67,73,Normal
132,51.206402,63.39840000000001,1.0668,51.206402,57.30239900000001,1.0668,6.10,5.30,0.80,51.206402,62.998400,1.066800,51.206402,57.702399,1.066800,67,61,Normal
133,51.206402,41.148,1.0668,57.302399,45.110398,1.0668,7.27,6.47,0.80,51.541779,41.365995,1.066800,56.967022,44.892403,1.066800,69,76,Normal
134,51.206402,28.955998000000008,1.0668,57.302399,28.955998000000008,1.0668,6.10,5.30,0.80,51.606402,28.955998,1.066800,56.902399,28.955998,1.066800,59,77,Normal
135,57.302399,35.051999,1.0668,63.398399,41.148,1.0668,8.62,7.82,0.80,57.585242,35.334842,1.066800,63.115556,40.865157,1.066800,80,75,Normal
136,57.302399,10.668000000000006,1.0668,63.398399,10.668000000000006,1.0668,6.10,5.30,0.80,57.702399,10.668000,1.066800,62.998399,10.668000,1.066800,82,70,Normal
137,57.302402,51.20640100000001,1.0668,63.398399,57.302397000000006,1.0668,8.62,7.82,0.80,57.585245,51.489244,1.066800,63.115556,57.019554,1.066800,83,71,Normal
138,63.398399,69.49440100000001,1.0668,69.4944,75.590399,2.7506,8.78,7.98,0.80,63.675997,69.771998,1.143476,69.216802,75.312802,2.673924,85,74,Normal
139,63.398399,41.148,1.0668,69.4944,35.051999,1.0668,8.62,7.82,0.80,63.681242,40.865157,1.066800,69.211557,35.334842,1.066800,80,87,Normal
140,63.398399,22.860001000000004,1.0668,69.4944,22.860001000000004,1.0668,6.10,5.30,0.80,63.798399,22.860001,1.066800,69.094400,22.860001,1.066800,78,89,Normal
141,63.398399,10.668000000000006,1.0668,69.4944,4.571999000000005,2.7914,8.79,7.99,0.80,63.675747,10.390652,1.145264,69.217052,4.849347,2.712936,91,82,Normal
142,69.4944,75.590399,2.7506,72.5424,78.4162,4.8577,4.66,3.86,0.80,69.756033,75.832959,2.931468,72.280767,78.173640,4.676832,85,98,Intercom
143,69.4944,35.051999,1.0668,75.590393,28.955994000000004,1.0668,8.62,7.82,0.80,69.777242,34.769156,1.066800,75.307551,29.238837,1.066800,102,87,Normal
144,69.4944,22.860001000000004,1.0668,75.590393,28.955994000000004,1.0668,8.62,7.82,0.80,69.777243,23.142844,1.066800,75.307550,28.673151,1.066800,102,89,Normal
145,75.590401,4.571999000000005,2.7914,75.590401,10.668000000000006,1.0668,6.34,5.54,0.80,75.590401,4.956893,2.682511,75.590401,10.283106,1.175689,100,104,Normal
146,81.686401,35.051999,1.0668,87.782402,41.148,1.0668,8.62,7.82,0.80,81.969244,35.334842,1.066800,87.499559,40.865157,1.066800,112,105,Normal
147,81.686401,51.20640100000001,1.0668,87.782402,57.302397000000006,1.0668,8.62,7.82,0.80,81.969244,51.489244,1.066800,87.499559,57.019554,1.066800,116,109,Normal
148,87.782402,45.110398,1.0668,93.878403,51.20640100000001,1.0668,8.62,7.82,0.80,88.065245,45.393241,1.066800,93.595560,50.923558,1.066800,111,120,Normal
149,87.782402,45.110398,1.0668,87.782402,41.148,1.0668,3.96,3.16,0.80,87.782402,44.710398,1.066800,87.782402,41.548000,1.066800,111,112,Normal
150,93.878403,22.860001000000004,1.0668,93.878403,16.764001000000007,1.0668,6.10,5.30,0.80,93.878403,22.460001,1.066800,93.878403,17.164001,1.066800,114,122,Normal
